单词,美式音标,中文翻译,例句,例句翻译
direct,dɪˈrɛkt; daɪˈrɛkt,adj. 直接的；直系的；亲身的；恰好的；v. 管理；指挥；导演；指向；adv. 直接地；正好；按直系关系,Experienced users have direct access to the main data files.,高级用户可直接浏览主数据文档。
lest,lɛst,conj. 唯恐，以免；担心,She turned away from the window lest anyone see them.,她转身离开窗边，免得有人看见他们。
drift,drɪft,n. 漂流，漂移；趋势；漂流物；v. 漂流，漂移；漂泊,Smoke drifted up from the jungle ahead of us.,我们前方的丛林里有烟升起。
consensus,kən'sɛnsəs,n. 一致；舆论；合意,The EU Council of Finance Ministers failed to reach a consensus on the pace of integration.,欧盟财政部长会议未能就一体化的进度达成共识。
exclude,ɪk'sklʊd,v. 排除；排斥；拒绝接纳；逐出,a special diet that excludes dairy products,不包含奶制品的特别食谱
pregnant,'prɛɡnənt,adj. 怀孕的；富有意义的,care for pregnant women,孕妇保健
committee,kə'mɪti,n. 委员会,a committee meeting,委员会会议
prompt,prɑmpt,adj. 敏捷的，迅速的；立刻的；v. 提示；促进；激起；（给演员）提白；n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格；adv. 准时地,Prompt action must be taken.,必须立即采取行动。
extravagant,ɪk'strævəgənt,adj. 奢侈的；浪费的；过度的；放纵的,Would it be too extravagant to buy both?,把两个都买下会不会太奢侈了？
turbulence,'tɝbjələns,n. 骚乱，动荡；[流] 湍流；狂暴,A period of political turbulence followed the civil war.,内战结束之后紧接着的是一段政治动荡时期。
disclose,dɪs'kloz,v. 公开；揭露,Some companies have already voluntarily disclosed similar information .,一些公司已经主动透露了类似的信息。
continent,'kɑntɪnənt,n. 大陆，洲，陆地；adj. 自制的，克制的,the continents of Asia and Africa,亚洲及非洲大陆
edit,'ɛdɪt,v. 编辑；校订；n. 编辑工作,The newspaper edits letters before printing them.,这家报社刊登读者来信前先作校订。
identical,aɪ'dɛntɪkl,adj. 同一的；完全相同的；n. 完全相同的事物,four identical houses,四幢一模一样的房子
overwhelm,",ovɚ'wɛlm",v. 淹没；压倒；受打击；覆盖；压垮,,
trail,trel,v. 追踪；拖；蔓延；落后于；n. 小径；痕迹；尾部；踪迹；一串，一系列,A plane trailing a banner was circling overhead.,一架飞机拖着横幅标语在上空盘旋。
offender,ə'fɛndɚ,n. 罪犯；冒犯者；违法者,Community punishment is used for less serious offenders.,社区服务刑被用来处罚犯罪情节较轻者。
surround,sə'raʊnd,v. 围绕；包围；n. 围绕物；adj. 环绕立体声的,He glared at the people who surrounded the tent.,他怒视着围住帐篷的那些人。
relationship,rɪ'leʃən'ʃɪp,n. 关系；关联,He’s never had a sexual relationship before.,他以前从未与人有过性关系。
fantasy,'fæntəsi,n. 幻想；白日梦；幻觉；adj. 虚幻的；v. 空想；想像,I used to have fantasies about living in Paris with an artist.,我过去常幻想着在巴黎与一位艺术家同住。
tough,tʌf,adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的；n. 恶棍；v. 坚持；忍受，忍耐；adv. 强硬地，顽强地,The men who work on the oil rigs are a tough bunch.,在石油钻塔上工作的都是吃苦耐劳的人。
liberal,'lɪbərəl,adj. 自由主义的；慷慨的；不拘泥的；宽大的；n. 自由主义者,a more liberal attitude towards sexuality,对两性关系比较开通的态度
stimulate,'stɪmjə'let,v. 刺激；鼓舞，激励,Her interest in art was stimulated by her father.,她对艺术的兴趣是她父亲激发的。
celebrity,sə'lɛbrəti,n. 名人；名声,a sporting celebrity,体育明星
accord,ə'kɔrd,n. 符合；一致；协议；自愿；v. 使一致；给予,He decided to go of his own accord.,他是自己决定要去的。
sociable,'soʃəbl,adj. 社交的；好交际的；友善的；n. 联谊会,"a pleasant, sociable couple",一对和善且喜欢与人交往的夫妇
jealousy,'dʒɛləsi,n. 嫉妒；猜忌；戒备,Sexual jealousy is a common motive for murder.,性嫉妒是常见的谋杀动机。
pierce,pɪrs,v. 刺穿；洞察；响彻；深深地打动,Steam the corn until it can easily be pierced with a fork.,把玉米蒸到用叉子可以轻易扎透。
inferior,ɪn'fɪrɪɚ,adj. 差的；自卑的；下级的，下等的；n. 下级；次品,I felt very inferior among all those academics.,与那些大学教师在一起，我自惭形秽。
assume,ə'sum,v. 假定；设想；承担；采取,I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.,我想我们几乎可以肯定，利率很快会再次上调。
testify,'tɛstɪfaɪ,v. 证明，证实；作证,Mr Molto has agreed to testify at the trial.,莫尔托先生已经同意出庭作证。
squeeze,skwiz,v. 挤；紧握；勒索；n. 压榨；紧握；拥挤；佣金,She smiled as he squeezed her hand.,他捏了捏她的手，她笑了。
alter,'ɔltɚ,v. 改变，更改；n. (Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特,Her face hadn’t altered much over the years.,过了这么多年，她的容貌并没有多大改变。
unity,'junəti,n. 团结；一致；联合；个体,economic unity,经济统一
uniform,'junɪfɔrm,adj. 统一的；一致的；相同的；均衡的；始终如一的；n. 制服；v. 使穿制服；使成一样,Grade A eggs must be of uniform size.,A 级鸡蛋必须大小相同。
disgrace,dɪs'ɡres,n. 耻辱；丢脸的人或事；失宠；v. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜,Smith faced total public disgrace after the incident.,事情发生之后，史密斯声名狼藉。
discharge,dɪs'tʃɑrdʒ,v. 解雇；卸下；放出；免除；n. 排放；卸货；解雇,Hospitals now tend to discharge patients earlier than in the past.,与过去相比，现在医院更趋向于让病人早些出院。
remove,rɪ'muv,v. 移动，迁移；开除；调动；n. 移动；距离；搬家,Remove the old wallpaper and fill any holes in the walls.,撕下旧墙纸，把墙上的洞都填平。
mask,mæsk,n. 面具；口罩；掩饰；v. 掩饰；戴面具；化装,a surgical face mask,外科手术口罩
entire,ɪn'taɪɚ,adj. 全部的，整个的；全体的；n. (Entire)人名；(英)恩泰尔,It was the worst day in my entire life.,那是我一生中最糟糕的一天。
inevitable,ɪn'ɛvɪtəbl,adj. 必然的，不可避免的,A further escalation of the crisis now seems inevitable.,危机的进一步升级现在看来已不可避免。
magnificent,mæg'nɪfəsnt,adj. 高尚的；壮丽的；华丽的；宏伟的,a magnificent performance,气势恢宏的演出
curb,kɝb,n. 抑制；路边；勒马绳；v. 控制；勒住,measures to curb the spread of the virus,控制病毒扩散的措施
distort,dɪ'stɔrt,v. 扭曲；使失真；曲解,His account was badly distorted by the press.,他的话被报界严重歪曲。
complain,kəm'plen,v. 投诉；发牢骚；诉说,Residents are complaining because traffic in the area has increased.,由于这个地区的交通流量有所增加，居民都在抱怨。
agenda,ə'dʒɛndə,n. 议程；日常工作事项；日程表,The Republicans have stuck to their conservative agenda.,共和党人坚持自己的保守议题。
magnify,'mæɡnɪfaɪ,v. 放大；赞美；夸大,"At the Sheffield arena, the speakers were magnified ten times on a giant screen.",在谢菲尔德体育馆，演讲者在一个巨大的屏幕上被放大了十倍。
restrictive,rɪ'strɪktɪv,adj. 限制的；限制性的；约束的；n. 限制词,Many members thought the rules were too restrictive.,很多会员认为这些规定限制条件太多。
organic,ɔr'gænɪk,adj. [有化] 有机的；组织的；器官的；根本的,Adding organic matter such as manure can improve the soil.,施粪肥之类的有机物能够改良土壤。
reluctant,rɪ'lʌktənt,adj. 不情愿的；勉强的；顽抗的,She gave a reluctant smile.,她勉强笑了笑。
medium,'midɪəm,adj. 中间的，中等的；半生熟的；n. 方法；媒体；媒介；中间物,"What size shirt does he wear – small, medium or large?",他穿多大尺码的衬衫——小号、中号还是大号？
pertain,pɝ'ten,v. 属于；关于；适合,...matters pertaining to naval district defence.,…与海军区域防卫有关的问题。
irrational,ɪ'ræʃənl,adj. 不合理的；无理性的；荒谬的；n. [数] 无理数,an irrational fear of flying,对飞行非理性的恐惧
prior,'praɪɚ,adj. 优先的；在先的，在前的；adv. 在前，居先；n. (Prior)人名；(法、西、葡、捷)普里奥尔；(英)普赖尔；(意)普廖尔,You do not need any prior knowledge of the subject.,你无需事先具备该方面的知识。
appreciate,ə'priʃɪet,v. 欣赏；感激；领会；鉴别,"Thanks ever so much for your help, I really appreciate it.",多谢你的帮助，我真的很感激。
architect,'ɑrkɪtɛkt,n. 建筑师,But I am an architect.,但是我是一名建筑师。
neglect,nɪ'glɛkt,v. 疏忽，忽视；忽略；n. 疏忽，忽视；怠慢,"She smoked and drank, neglected the children, and left the clothes unmended.",她抽烟喝酒，既不照顾孩子，也不缝补衣服。
surge,sɝdʒ,n. 汹涌；大浪，波涛；汹涌澎湃；巨涌；v. 汹涌；起大浪，蜂拥而来,a device that protects your computer against electrical surges,一台计算机电涌保护设备
marginal,'mɑrdʒɪnl,adj. 边缘的；临界的；末端的,marginal revenue,边际收益
adore,ə'dɔr,v. 崇拜；爱慕；喜爱；极喜欢；n. (Adore)人名；(法)阿多尔,Betty adores her grandchildren.,贝蒂非常宠爱孙辈。
flexible,'flɛksəbl,adj. 灵活的；柔韧的；易弯曲的,We can be flexible about your starting date.,你具体从哪天开始，我们可以灵活一点。
straightforward,",stret'fɔrwɚd",adj. 简单的；坦率的；明确的；径直的；adv. 直截了当地；坦率地,This area of law is far from straightforward (= complicated ) .,法律的这个领域很复杂。
corrupt,kə'rʌpt,adj. 腐败的，贪污的；堕落的；v. 使腐烂；使堕落，使恶化,Corrupt judges have taken millions of dollars in bribes.,腐败的法官接受了几百万美元的贿赂。
extinct,ɪk'stɪŋkt,adj. 灭绝的，绝种的；熄灭的；vt. 使熄灭,Dinosaurs have been extinct for millions of years.,恐龙已灭绝数千万年了。
exchange,ɪks'tʃendʒ,n. 交换；交流；交易所；兑换；v. 交换；交易；兑换,Four of my cassettes for your Madonna CD is a fair exchange.,我用四盒磁带换你的麦当娜激光唱片很公平。
supreme,suˈprim,adj. 最高的；至高的；最重要的；n. 至高；霸权,the Supreme Allied Commander in Europe,欧洲盟军最高指挥官
crime,kraɪm,n. 罪行，犯罪；罪恶；犯罪活动；vt. 控告……违反纪律,We moved here because there was very little crime.,我们搬到这里来是因为这里的犯罪率很低。
concept,'kɑnsɛpt,n. 观念，概念,a new concept in business travel,商务旅行的新理念
senator,'sɛnətɚ,n. 参议员；（古罗马的）元老院议员；评议员，理事,Senator Kennedy,肯尼迪参议员
scandal,'skændl,n. 丑闻；流言蜚语；诽谤；公愤,It caused quite a scandal when he left his wife.,他离开妻子成了一大丑闻。
promotion,prə'moʃən,n. 提升，[劳经] 晋升；推销，促销；促进；发扬，振兴,I want a job with good prospects for promotion.,我想要一份有良好晋升机会的工作。
credible,'krɛdəbl,adj. 可靠的，可信的,Her excuse was barely credible.,她的借口无法让人信服。
oppressive,ə'prɛsɪv,adj. 压迫的；沉重的；压制性的；难以忍受的,The new laws will be just as oppressive as those they replace.,新法律将跟被它所取代的那些法律一样不公正。
ethic,'ɛθɪk,n. 伦理；道德规范；adj. 伦理的；道德的（等于ethical）,The old ethic of hard work has given way to a new ethic of instant gratification.,旧有的崇尚勤勉的道德观已被及时行乐的新观念所取代。
allege,ə'lɛdʒ,v. 宣称，断言；提出…作为理由,She alleged that there was rampant drug use among the male members of the group.,她指称该组织中有大量的男性成员吸毒。
irritable,'ɪrɪtəbl,adj. 过敏的；急躁的；易怒的,"Jo was tired, irritable, and depressed.",乔疲惫暴躁，而且情绪低落。
property,'prɑpɚti,n. 性质，性能；财产；所有权,The hotel is not responsible for any loss or damage to guests’ personal property .,宾馆对住客个人财物的丢失和损坏概不负责。
